geoid,name,smr_no,smr_gld,smr_slv,smr_brz,smr_tot,wtr_no,wtr_gld,wtr_slv,wtr_brz,wtr_tot,tot_no,tot_gld,tot_slv,tot_brz,tot_tot,tot_98,alt_98,gdp_1998,tot_00,alt_00,gdp_2000,tot_02,alt_02,gdp_2002,tot_04,alt_04,gdp_2004,tot_06,alt_06,gdp_2006,tot_08,alt_08,gdp_2008,tot_10,alt_10,gdp_2010,tot_12,alt_12,gdp_2012,tot_14,alt_14,gdp_2014,tot_16,alt_16,gdp_2016
MAR,Morocco,14,6,5,12,23,7,0,0,0,0,21,6,5,12,23,NA,NA,1469,5,6,1332,NA,NA,1414,3,8,1949,NA,NA,2191,2,3,2885,NA,NA,2834,1,1,2905,NA,NA,3160,1,1,2893
TTO,Trinidad and Tobago,17,2,6,11,19,3,0,0,0,0,20,2,6,11,19,NA,NA,4787,2,3,6431,NA,NA,7050,1,1,10291,NA,NA,14096,2,4,21188,NA,NA,16684,4,7,19152,NA,NA,19325,1,1,16041
DZA,Algeria,13,5,4,8,17,3,0,0,0,0,16,5,4,8,17,NA,NA,1588,5,8,1757,NA,NA,1774,NA,NA,2599,NA,NA,3465,2,3,4905,NA,NA,4463,1,3,5565,NA,NA,5466,2,4,3917
VEN,Venezuela,18,2,3,10,15,4,0,0,0,0,22,2,3,10,15,NA,NA,3875,NA,NA,4784,NA,NA,3656,2,2,4271,NA,NA,6736,1,1,11227,NA,NA,13545,1,3,12755,NA,NA,15692,3,4,0
SRB,Serbia,4,3,6,6,15,3,0,0,0,0,7,3,6,6,15,NA,NA,2416,NA,NA,870,NA,NA,2150,NA,NA,3331,NA,NA,4130,3,4,6702,NA,NA,5412,4,7,5659,NA,NA,6200,8,16,5426
BHS,Bahamas,16,6,2,6,14,0,0,0,0,0,16,6,2,6,14,NA,NA,18457,2,6,21241,NA,NA,22506,2,4,21996,NA,NA,23719,2,3,23652,NA,NA,21922,1,3,28816,NA,NA,28374,2,4,28785
ARM,Armenia,6,2,6,6,14,7,0,0,0,0,13,2,6,6,14,NA,NA,609,1,1,623,NA,NA,783,NA,NA,1192,NA,NA,2158,6,6,4010,NA,NA,3218,2,3,3685,NA,NA,3995,4,9,3615
CHL,Chile,23,2,7,4,13,17,0,0,0,0,40,2,7,4,13,NA,NA,5479,1,1,5101,NA,NA,4464,2,4,6211,NA,NA,9485,1,2,10781,NA,NA,12860,NA,NA,15432,NA,NA,14817,NA,NA,13793
TUN,Tunisia,14,4,2,7,13,0,0,0,0,0,14,4,2,7,13,NA,NA,2295,NA,NA,2214,NA,NA,2346,NA,NA,3113,NA,NA,3372,1,3,4310,NA,NA,4140,3,7,4138,NA,NA,4270,3,3,3689
MYS,Malaysia,13,0,7,4,11,1,0,0,0,0,14,0,7,4,11,NA,NA,3264,NA,NA,4045,NA,NA,4167,NA,NA,4955,NA,NA,6223,1,2,8514,NA,NA,9071,2,3,10780,NA,NA,11184,5,9,9508
LIE,Liechtenstein,17,0,0,0,0,19,2,2,6,10,36,2,2,6,10,NA,NA,76641,NA,NA,74625,NA,NA,79036,NA,NA,99849,NA,NA,113983,NA,NA,142974,NA,NA,141165,NA,NA,149296,NA,NA,179308,NA,NA,0
PHL,Philippines,21,0,3,7,10,5,0,0,0,0,26,0,3,7,10,NA,NA,967,NA,NA,1039,NA,NA,1000,NA,NA,1079,NA,NA,1392,NA,NA,1919,NA,NA,2129,NA,NA,2582,NA,NA,2843,1,2,2951
URY,Uruguay,21,2,2,6,10,1,0,0,0,0,22,2,2,6,10,NA,NA,7711,1,2,6872,NA,NA,4089,NA,NA,4117,NA,NA,5878,NA,NA,9062,NA,NA,11938,NA,NA,15092,NA,NA,16738,NA,NA,15221
PAK,Pakistan,17,3,3,4,10,3,0,0,0,0,20,3,3,4,10,NA,NA,470,NA,NA,534,NA,NA,500,NA,NA,650,NA,NA,874,NA,NA,1039,NA,NA,1040,NA,NA,1261,NA,NA,1317,NA,NA,1444
PRI,Puerto Rico,18,1,2,6,9,7,0,0,0,0,25,1,2,6,9,NA,NA,14304,NA,NA,16192,NA,NA,18731,NA,NA,20989,NA,NA,22936,NA,NA,24898,NA,NA,26436,2,3,27945,NA,NA,28981,1,3,30790
ISR,Israel,16,1,1,7,9,7,0,0,0,0,23,1,1,7,9,NA,NA,19424,1,1,21043,NA,NA,18428,2,4,19892,NA,NA,21828,1,1,29532,NA,NA,30643,NA,NA,32526,NA,NA,37540,2,2,37181
ZWE,Zimbabwe,13,3,4,1,8,1,0,0,0,0,14,3,4,1,8,NA,NA,538,NA,NA,547,NA,NA,507,3,6,454,NA,NA,415,4,9,326,NA,NA,720,NA,NA,968,NA,NA,1031,NA,NA,1029
UGA,Uganda,15,2,3,2,7,0,0,0,0,0,15,2,3,2,7,NA,NA,292,NA,NA,258,NA,NA,240,NA,NA,288,NA,NA,336,NA,NA,450,NA,NA,595,1,3,637,NA,NA,703,NA,NA,580
DOM,Dominican Republic,14,3,2,2,7,0,0,0,0,0,14,3,2,2,7,NA,NA,2552,NA,NA,2802,NA,NA,3008,1,3,2421,NA,NA,3836,2,5,5011,NA,NA,5451,2,5,5969,NA,NA,6269,1,1,6722
CMR,Cameroon,14,3,1,2,6,1,0,0,0,0,15,3,1,2,6,NA,NA,731,1,3,660,NA,NA,720,1,3,1028,NA,NA,1081,1,3,1397,NA,NA,1309,1,1,1381,NA,NA,1571,NA,NA,1375
SGP,Singapore,16,1,2,2,5,1,0,0,0,0,17,1,2,2,5,NA,NA,21824,NA,NA,23793,NA,NA,22017,NA,NA,27405,NA,NA,33580,1,2,39721,NA,NA,46570,2,2,54431,NA,NA,56336,1,3,52962
MDA,Moldova,6,0,2,3,5,7,0,0,0,0,13,0,2,3,5,NA,NA,449,2,3,354,NA,NA,459,NA,NA,721,NA,NA,951,1,1,1696,NA,NA,1632,0,0,2047,NA,NA,2245,NA,NA,1900
QAT,Qatar,9,0,1,4,5,0,0,0,0,0,9,0,1,4,5,NA,NA,18632,1,1,29986,NA,NA,29991,NA,NA,41818,NA,NA,60257,NA,NA,82967,NA,NA,70306,2,2,88565,NA,NA,86853,1,2,59324
ISL,Iceland,20,0,2,2,4,18,0,0,0,0,38,0,2,2,4,NA,NA,30901,1,1,31813,NA,NA,31996,NA,NA,46917,NA,NA,56104,1,2,55575,NA,NA,41676,NA,NA,44334,NA,NA,52473,NA,NA,59765
LBN,Lebanon,17,0,2,2,4,17,0,0,0,0,34,0,2,2,4,NA,NA,5539,NA,NA,5335,NA,NA,5437,NA,NA,5424,NA,NA,5372,NA,NA,7109,NA,NA,8858,NA,NA,8923,NA,NA,8537,NA,NA,8257
LUX,Luxembourg,23,1,1,0,2,9,0,2,0,2,32,1,3,0,4,NA,NA,47584,NA,NA,48736,NA,NA,52931,NA,NA,75716,NA,NA,89740,NA,NA,114294,NA,NA,104965,NA,NA,106749,NA,NA,119225,NA,NA,100739
CRI,Costa Rica,15,1,1,2,4,6,0,0,0,0,21,1,1,2,4,NA,NA,3615,2,2,3808,NA,NA,4062,NA,NA,4426,NA,NA,5245,NA,NA,6911,NA,NA,8199,NA,NA,9985,NA,NA,10647,NA,NA,11825
PER,Peru,18,1,3,0,4,2,0,0,0,0,20,1,3,0,4,NA,NA,2202,NA,NA,1997,NA,NA,2059,NA,NA,2448,NA,NA,3171,NA,NA,4209,NA,NA,5022,NA,NA,6388,NA,NA,6491,NA,NA,6049
GHA,Ghana,14,0,1,3,4,2,0,0,0,0,16,0,1,3,4,NA,NA,415,NA,NA,263,NA,NA,309,NA,NA,423,NA,NA,923,NA,NA,1224,NA,NA,1313,NA,NA,1630,NA,NA,1432,NA,NA,1513
VNM,Vietnam,15,1,3,0,4,0,0,0,0,0,15,1,3,0,4,NA,NA,347,1,2,388,NA,NA,428,NA,NA,544,NA,NA,780,1,2,1143,NA,NA,1310,NA,NA,1723,NA,NA,2012,2,5,2171
KGZ,Kyrgyzstan,6,0,1,3,4,7,0,0,0,0,13,0,1,3,4,NA,NA,345,1,1,280,NA,NA,322,NA,NA,433,NA,NA,543,2,3,966,NA,NA,880,NA,NA,1178,NA,NA,1280,NA,NA,1078
TJK,Tajikistan,6,1,1,2,4,4,0,0,0,0,10,1,1,2,4,NA,NA,219,NA,NA,138,NA,NA,189,NA,NA,309,NA,NA,404,NA,NA,706,NA,NA,738,1,1,955,NA,NA,1104,1,3,796
NAM,Namibia,7,0,4,0,4,0,0,0,0,0,7,0,4,0,4,NA,NA,2113,NA,NA,2058,NA,NA,1713,NA,NA,3288,NA,NA,3881,NA,NA,4029,NA,NA,5192,NA,NA,5749,NA,NA,5393,NA,NA,4415
HKG,Hong Kong,16,1,1,1,3,5,0,0,0,0,21,1,1,1,3,NA,NA,25809,NA,NA,25757,NA,NA,24666,1,2,24928,NA,NA,28224,NA,NA,31516,NA,NA,32550,1,1,36731,NA,NA,40315,NA,NA,43741
PAN,Panama,17,1,0,2,3,0,0,0,0,0,17,1,0,2,3,NA,NA,3975,NA,NA,4060,NA,NA,4126,NA,NA,4592,NA,NA,5349,1,3,6974,NA,NA,7937,NA,NA,10590,NA,NA,12594,NA,NA,13680
CIV,Ivory Coast,13,1,1,1,3,0,0,0,0,0,13,1,1,1,3,NA,NA,794,NA,NA,642,NA,NA,711,NA,NA,920,NA,NA,952,NA,NA,1242,NA,NA,1220,NA,NA,1262,NA,NA,1570,2,4,1535
SYR,Syria,13,1,1,1,3,0,0,0,0,0,13,1,1,1,3,NA,NA,974,NA,NA,1178,NA,NA,1263,1,1,1409,NA,NA,1762,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SAU,Saudi Arabia,11,0,1,2,3,0,0,0,0,0,11,0,1,2,3,NA,NA,7382,2,3,9127,NA,NA,8655,NA,NA,11139,NA,NA,15335,NA,NA,20038,NA,NA,19260,1,1,25303,NA,NA,24575,NA,NA,20029
BHR,Bahrain,9,2,1,0,3,0,0,0,0,0,9,2,1,0,3,NA,NA,10076,NA,NA,13636,NA,NA,13102,NA,NA,15846,NA,NA,19308,NA,NA,23068,NA,NA,20722,1,3,23649,NA,NA,24983,2,5,22579
LKA,Sri Lanka,17,0,2,0,2,0,0,0,0,0,17,0,2,0,2,NA,NA,851,1,2,869,NA,NA,868,NA,NA,1067,NA,NA,1438,NA,NA,2041,NA,NA,2808,NA,NA,3351,NA,NA,3848,NA,NA,3910
ECU,Ecuador,14,1,1,0,2,1,0,0,0,0,15,1,1,0,2,NA,NA,2300,NA,NA,1451,NA,NA,2184,NA,NA,2709,NA,NA,3351,1,2,4275,NA,NA,4657,NA,NA,5702,NA,NA,6397,NA,NA,6019
HTI,Haiti,15,0,1,1,2,0,0,0,0,0,15,0,1,1,2,NA,NA,451,NA,NA,462,NA,NA,393,NA,NA,388,NA,NA,505,NA,NA,675,NA,NA,662,NA,NA,767,NA,NA,830,NA,NA,740
AFG,Afghanistan,14,0,0,2,2,0,0,0,0,0,14,0,0,2,2,NA,NA,0,NA,NA,0,NA,NA,188,NA,NA,219,NA,NA,273,1,1,373,NA,NA,553,1,1,669,NA,NA,629,NA,NA,562
TZA,Tanzania,13,0,2,0,2,0,0,0,0,0,13,0,2,0,2,NA,NA,296,NA,NA,307,NA,NA,308,NA,NA,345,NA,NA,472,NA,NA,651,NA,NA,702,NA,NA,820,NA,NA,950,NA,NA,878
ZMB,Zambia,13,0,1,1,2,0,0,0,0,0,13,0,1,1,2,NA,NA,356,NA,NA,342,NA,NA,377,NA,NA,530,NA,NA,1030,NA,NA,1369,NA,NA,1463,NA,NA,1735,NA,NA,1738,NA,NA,1270
KWT,Kuwait,12,0,0,2,2,0,0,0,0,0,12,0,0,2,2,NA,NA,14127,1,1,18389,NA,NA,17789,NA,NA,26921,NA,NA,42718,NA,NA,55572,NA,NA,38498,1,1,51264,NA,NA,42996,NA,NA,27359
SUR,Suriname,12,1,0,1,2,0,0,0,0,0,12,1,0,1,2,NA,NA,2047,NA,NA,1889,NA,NA,2233,NA,NA,3006,NA,NA,5208,NA,NA,6858,NA,NA,8303,NA,NA,9272,NA,NA,9564,NA,NA,5871
MOZ,Mozambique,10,1,0,1,2,0,0,0,0,0,10,1,0,1,2,NA,NA,284,1,3,278,NA,NA,263,NA,NA,336,NA,NA,386,NA,NA,503,NA,NA,419,NA,NA,566,NA,NA,623,NA,NA,382
GRD,Grenada,9,1,1,0,2,0,0,0,0,0,9,1,1,0,2,NA,NA,4401,NA,NA,5118,NA,NA,5292,NA,NA,5836,NA,NA,6766,NA,NA,7947,NA,NA,7366,1,3,7583,NA,NA,8570,1,2,9842
ARE,United Arab Emirates,9,1,0,1,2,0,0,0,0,0,9,1,0,1,2,NA,NA,26663,NA,NA,33071,NA,NA,31311,1,3,36161,NA,NA,42372,NA,NA,45759,NA,NA,35049,NA,NA,42112,NA,NA,44450,1,1,37622
